mysql root@(none):covid_data> select Name, Never_Mask, Rarely_Mask, Sometimes_Mask, Frequently_Mask, Always_Mask  from `County` order by `Always_Mask` desc;
+-----------------------------------+------------+-------------+----------------+-----------------+-------------+
| Name                              | Never_Mask | Rarely_Mask | Sometimes_Mask | Frequently_Mask | Always_Mask |
| Bucks                             | 0.014      | 0.018       | 0.032          | 0.131           | 0.805       |
| Yuma                              | 0.008      | 0.013       | 0.046          | 0.129           | 0.804       |
| Harrison                          | 0.073      | 0.044       | 0.031          | 0.047           | 0.804       |
| Wicomico                          | 0.006      | 0.011       | 0.063          | 0.116           | 0.804       |
| Hunterdon                         | 0.007      | 0.038       | 0.065          | 0.085           | 0.804       |
| Riverside                         | 0.026      | 0.014       | 0.041          | 0.116           | 0.803       |
| Maui                              | 0.034      | 0.016       | 0.025          | 0.122           | 0.803       |
| Santa Fe                          | 0.008      | 0.016       | 0.031          | 0.143           | 0.803       |
| Cortland                          | 0.001      | 0.062       | 0.015          | 0.118           | 0.803       |
| Marin                             | 0.011      | 0.000       | 0.046          | 0.141           | 0.802       |
| Camden                            | 0.028      | 0.005       | 0.027          | 0.137           | 0.802       |
| Atascosa                          | 0.001      | 0.010       | 0.032          | 0.156           | 0.802       |
| Orange                            | 0.010      | 0.020       | 0.028          | 0.142           | 0.801       |
| San Diego                         | 0.017      | 0.023       | 0.034          | 0.126           | 0.800       |
| San Miguel                        | 0.004      | 0.020       | 0.057          | 0.119           | 0.800       |
| Hawaii                            | 0.010      | 0.032       | 0.037          | 0.122           | 0.799       |
| Honolulu                          | 0.011      | 0.012       | 0.027          | 0.151           | 0.798       |
| Middlesex                         | 0.023      | 0.011       | 0.041          | 0.127           | 0.798       |
| Westchester                       | 0.025      | 0.018       | 0.044          | 0.115           | 0.798       |
| Santa Cruz                        | 0.008      | 0.000       | 0.086          | 0.109           | 0.797       |
| Clatsop                           | 0.052      | 0.027       | 0.051          | 0.073           | 0.797       |
| Alameda                           | 0.019      | 0.008       | 0.055          | 0.123           | 0.795       |
| Sonoma                            | 0.022      | 0.012       | 0.022          | 0.149           | 0.795       |
| New Haven                         | 0.023      | 0.014       | 0.053          | 0.115           | 0.795       |
| Travis                            | 0.015      | 0.008       | 0.024          | 0.158           | 0.795       |
| Philadelphia                      | 0.023      | 0.012       | 0.051          | 0.120           | 0.794       |
| Guadalupe                         | 0.027      | 0.022       | 0.032          | 0.125           | 0.794       |
| Cattaraugus                       | 0.015      | 0.013       | 0.024          | 0.156           | 0.793       |
| Nantucket                         | 0.015      | 0.003       | 0.034          | 0.156           | 0.792       |
| Centre                            | 0.017      | 0.013       | 0.076          | 0.101           | 0.792       |
| Yolo                              | 0.007      | 0.005       | 0.040          | 0.156           | 0.791       |
