mysql root@(none):covid_data> select Name, Never_Mask, Rarely_Mask, Sometimes_Mask, Frequently_Mask, Always_Mask  from `County` order by `Always_Mask` desc;
+-----------------------------------+------------+-------------+----------------+-----------------+-------------+
| Name                              | Never_Mask | Rarely_Mask | Sometimes_Mask | Frequently_Mask | Always_Mask |
| East Carroll                      | 0.022      | 0.046       | 0.121          | 0.137           | 0.674       |
| Churchill                         | 0.022      | 0.093       | 0.058          | 0.153           | 0.674       |
| Steuben                           | 0.036      | 0.031       | 0.057          | 0.201           | 0.674       |
| Mineral                           | 0.033      | 0.016       | 0.042          | 0.234           | 0.674       |
| Douglas                           | 0.013      | 0.041       | 0.081          | 0.192           | 0.673       |
| Jefferson                         | 0.028      | 0.031       | 0.075          | 0.194           | 0.673       |
| Johnson                           | 0.014      | 0.044       | 0.069          | 0.200           | 0.673       |
| Washington                        | 0.026      | 0.027       | 0.135          | 0.138           | 0.673       |
| Brunswick                         | 0.024      | 0.018       | 0.036          | 0.248           | 0.673       |
| Nash                              | 0.044      | 0.032       | 0.038          | 0.212           | 0.673       |
| Westmoreland                      | 0.017      | 0.070       | 0.069          | 0.172           | 0.673       |
| Stark                             | 0.013      | 0.101       | 0.058          | 0.155           | 0.672       |
| Grand Traverse                    | 0.004      | 0.041       | 0.082          | 0.200           | 0.672       |
| Holmes                            | 0.062      | 0.072       | 0.095          | 0.099           | 0.672       |
| Bell                              | 0.010      | 0.035       | 0.078          | 0.205           | 0.672       |
| Amelia                            | 0.013      | 0.069       | 0.116          | 0.130           | 0.672       |
| Kittitas                          | 0.032      | 0.084       | 0.033          | 0.179           | 0.672       |
| Plumas                            | 0.063      | 0.067       | 0.053          | 0.146           | 0.671       |
| Lyon                              | 0.037      | 0.069       | 0.050          | 0.173           | 0.671       |
| Dare                              | 0.028      | 0.005       | 0.102          | 0.194           | 0.671       |
| Grant                             | 0.014      | 0.062       | 0.132          | 0.120           | 0.671       |
| Parker                            | 0.020      | 0.048       | 0.055          | 0.206           | 0.671       |
| Monroe                            | 0.003      | 0.040       | 0.112          | 0.174           | 0.670       |
| Hillsborough                      | 0.030      | 0.069       | 0.066          | 0.164           | 0.670       |
| Hudson                            | 0.022      | 0.019       | 0.077          | 0.211           | 0.670       |
| Schuyler                          | 0.010      | 0.009       | 0.071          | 0.239           | 0.670       |
| Caldwell                          | 0.028      | 0.031       | 0.072          | 0.199           | 0.670       |
| Matagorda                         | 0.004      | 0.051       | 0.113          | 0.161           | 0.670       |
| Sutter                            | 0.058      | 0.031       | 0.080          | 0.163           | 0.669       |
| Yuba                              | 0.057      | 0.035       | 0.071          | 0.167           | 0.669       |
| Randolph                          | 0.016      | 0.065       | 0.050          | 0.200           | 0.669       |
| Cumberland                        | 0.050      | 0.053       | 0.046          | 0.182           | 0.669       |
| Warren                            | 0.027      | 0.017       | 0.088          | 0.200           | 0.669       |
| Kern                              | 0.022      | 0.028       | 0.105          | 0.177           | 0.668       |
| Madison                           | 0.017      | 0.097       | 0.064          | 0.154           | 0.668       |
| Pinal                             | 0.033      | 0.055       | 0.096          | 0.148           | 0.667       |
| St. Charles                       | 0.093      | 0.048       | 0.027          | 0.165           | 0.667       |
| Charles                           | 0.035      | 0.034       | 0.107          | 0.157           | 0.667       |
| New Hanover                       | 0.019      | 0.032       | 0.032          | 0.250           | 0.667       |
| La Salle                          | 0.152      | 0.002       | 0.083          | 0.097           | 0.667       |
| Crawford                          | 0.043      | 0.050       | 0.061          | 0.181           | 0.666       |
| Missaukee                         | 0.025      | 0.036       | 0.082          | 0.191           | 0.666       |
| Nye                               | 0.061      | 0.038       | 0.052          | 0.183           | 0.666       |
| Haywood                           | 0.077      | 0.039       | 0.030          | 0.188           | 0.666       |
| Deschutes                         | 0.010      | 0.061       | 0.014          | 0.250           | 0.666       |
| King George                       | 0.151      | 0.044       | 0.086          | 0.053           | 0.666       |
| Wyandotte                         | 0.025      | 0.056       | 0.076          | 0.178           | 0.665       |
| Yancey                            | 0.028      | 0.019       | 0.063          | 0.224           | 0.665       |
| Jackson                           | 0.044      | 0.077       | 0.075          | 0.138           | 0.665       |
| Sagadahoc                         | 0.061      | 0.026       | 0.033          | 0.216           | 0.664       |
| Linn                              | 0.057      | 0.025       | 0.096          | 0.159           | 0.664       |
| Dinwiddie                         | 0.022      | 0.016       | 0.104          | 0.193           | 0.664       |
| Norfolk city                      | 0.004      | 0.030       | 0.087          | 0.215           | 0.664       |
| Anchorage                         | 0.042      | 0.050       | 0.049          | 0.196           | 0.663       |
| Valdez-Cordova Census Area        | 0.040      | 0.049       | 0.052          | 0.197           | 0.663       |
| Fremont                           | 0.006      | 0.069       | 0.062          | 0.200           | 0.663       |
| Leelanau                          | 0.003      | 0.038       | 0.092          | 0.203           | 0.663       |
| Monroe                            | 0.066      | 0.035       | 0.054          | 0.183           | 0.663       |
| Lexington city                    | 0.010      | 0.146       | 0.059          | 0.121           | 0.663       |
| Kenai Peninsula Borough           | 0.043      | 0.047       | 0.051          | 0.197           | 0.662       |
| Fulton                            | 0.026      | 0.036       | 0.089          | 0.187           | 0.662       |
| Newton                            | 0.010      | 0.025       | 0.100          | 0.203           | 0.662       |
| Henrico                           | 0.040      | 0.037       | 0.071          | 0.191           | 0.662       |
| Grays Harbor                      | 0.030      | 0.009       | 0.087          | 0.213           | 0.662       |
| Mariposa                          | 0.010      | 0.094       | 0.049          | 0.186           | 0.661       |
| Champaign                         | 0.000      | 0.067       | 0.080          | 0.192           | 0.661       |
| Nottoway                          | 0.044      | 0.014       | 0.099          | 0.182           | 0.661       |
| Grant                             | 0.032      | 0.052       | 0.108          | 0.146           | 0.661       |
| Matanuska-Susitna Borough         | 0.042      | 0.051       | 0.048          | 0.198           | 0.660       |
| Boone                             | 0.025      | 0.006       | 0.065          | 0.244           | 0.660       |
| Brown                             | 0.055      | 0.061       | 0.041          | 0.184           | 0.660       |
| Crawford                          | 0.089      | 0.045       | 0.141          | 0.064           | 0.660       |
| Sherman                           | 0.008      | 0.014       | 0.046          | 0.271           | 0.660       |
| Powhatan                          | 0.012      | 0.092       | 0.074          | 0.162           | 0.660       |
| Larimer                           | 0.013      | 0.037       | 0.060          | 0.231           | 0.659       |
| Wexford                           | 0.036      | 0.056       | 0.077          | 0.171           | 0.659       |
| Sierra                            | 0.030      | 0.039       | 0.033          | 0.239           | 0.659       |
| Sutton                            | 0.009      | 0.042       | 0.080          | 0.209           | 0.659       |
| Collier                           | 0.040      | 0.023       | 0.067          | 0.212           | 0.658       |
| Greene                            | 0.062      | 0.046       | 0.057          | 0.176           | 0.658       |
| Wahkiakum                         | 0.045      | 0.057       | 0.079          | 0.161           | 0.658       |
| Winnebago                         | 0.031      | 0.030       | 0.089          | 0.193           | 0.657       |
| Jefferson                         | 0.018      | 0.062       | 0.012          | 0.250           | 0.657       |
| Charleston                        | 0.036      | 0.059       | 0.062          | 0.186           | 0.657       |
| Franklin city                     | 0.010      | 0.027       | 0.115          | 0.192           | 0.656       |
| Amador                            | 0.045      | 0.013       | 0.099          | 0.188           | 0.655       |
| York                              | 0.076      | 0.036       | 0.061          | 0.173           | 0.655       |
| Clay                              | 0.033      | 0.037       | 0.076          | 0.199           | 0.655       |
| Montgomery                        | 0.027      | 0.056       | 0.078          | 0.184           | 0.655       |
| Curry                             | 0.025      | 0.058       | 0.100          | 0.162           | 0.655       |
| Walker                            | 0.029      | 0.058       | 0.079          | 0.179           | 0.655       |
| Johnson                           | 0.029      | 0.019       | 0.075          | 0.224           | 0.654       |
| Marion                            | 0.046      | 0.082       | 0.074          | 0.144           | 0.654       |
| Orleans                           | 0.019      | 0.034       | 0.087          | 0.206           | 0.654       |
| Culberson                         | 0.125      | 0.006       | 0.039          | 0.176           | 0.654       |
| Middlesex                         | 0.001      | 0.004       | 0.103          | 0.237           | 0.654       |
| Tuolumne                          | 0.008      | 0.043       | 0.084          | 0.212           | 0.653       |
| Otero                             | 0.004      | 0.047       | 0.102          | 0.194           | 0.653       |
| Hamilton                          | 0.042      | 0.024       | 0.053          | 0.229           | 0.653       |
| Shelby                            | 0.034      | 0.025       | 0.105          | 0.184           | 0.653       |
| Culpeper                          | 0.053      | 0.068       | 0.013          | 0.213           | 0.653       |
| Skagit                            | 0.035      | 0.097       | 0.037          | 0.177           | 0.653       |
| Josephine                         | 0.028      | 0.056       | 0.072          | 0.192           | 0.652       |
| Indiana                           | 0.015      | 0.047       | 0.066          | 0.220           | 0.652       |
| Washington                        | 0.034      | 0.028       | 0.101          | 0.186           | 0.651       |
| Summit                            | 0.018      | 0.100       | 0.054          | 0.177           | 0.651       |
| Hendry                            | 0.046      | 0.042       | 0.112          | 0.150           | 0.650       |
| Lee                               | 0.013      | 0.054       | 0.058          | 0.224           | 0.650       |
| Fayette                           | 0.031      | 0.051       | 0.066          | 0.202           | 0.650       |
| Liberty                           | 0.019      | 0.034       | 0.114          | 0.182           | 0.650       |
| Whiteside                         | 0.025      | 0.066       | 0.042          | 0.218           | 0.649       |
| West Baton Rouge                  | 0.044      | 0.040       | 0.070          | 0.197           | 0.649       |
| Cumberland                        | 0.028      | 0.047       | 0.100          | 0.175           | 0.649       |
| Cameron                           | 0.147      | 0.014       | 0.048          | 0.142           | 0.649       |
| Northumberland                    | 0.064      | 0.013       | 0.078          | 0.197           | 0.649       |
| Perry                             | 0.035      | 0.017       | 0.100          | 0.199           | 0.649       |
| Wise                              | 0.008      | 0.127       | 0.046          | 0.170           | 0.649       |
| Chesterfield                      | 0.026      | 0.030       | 0.080          | 0.216           | 0.649       |
| Lunenburg                         | 0.068      | 0.006       | 0.134          | 0.143           | 0.649       |
| Las Animas                        | 0.052      | 0.030       | 0.101          | 0.170           | 0.648       |
| Lee                               | 0.052      | 0.050       | 0.073          | 0.176           | 0.648       |
| St. Lucie                         | 0.077      | 0.022       | 0.080          | 0.173           | 0.648       |
| Madison                           | 0.035      | 0.045       | 0.083          | 0.189           | 0.648       |
| Valencia                          | 0.006      | 0.009       | 0.143          | 0.195           | 0.648       |
| Lampasas                          | 0.024      | 0.019       | 0.077          | 0.233           | 0.648       |
| Mecklenburg                       | 0.063      | 0.022       | 0.128          | 0.140           | 0.648       |
| Warren                            | 0.062      | 0.044       | 0.085          | 0.162           | 0.647       |
| Butler                            | 0.035      | 0.062       | 0.062          | 0.194           | 0.647       |
| Kalkaska                          | 0.018      | 0.037       | 0.070          | 0.228           | 0.646       |
| Chaffee                           | 0.038      | 0.045       | 0.134          | 0.138           | 0.645       |
| Polk                              | 0.013      | 0.022       | 0.078          | 0.242           | 0.645       |
| Colorado                          | 0.004      | 0.044       | 0.078          | 0.228           | 0.645       |
| Maverick                          | 0.005      | 0.091       | 0.129          | 0.130           | 0.645       |
| Rockwall                          | 0.033      | 0.041       | 0.101          | 0.180           | 0.645       |
| Young                             | 0.062      | 0.063       | 0.086          | 0.144           | 0.645       |
| Pulaski                           | 0.028      | 0.027       | 0.126          | 0.175           | 0.644       |
| Costilla                          | 0.034      | 0.072       | 0.076          | 0.175           | 0.644       |
| Taliaferro                        | 0.065      | 0.048       | 0.086          | 0.158           | 0.644       |
| Stephenson                        | 0.036      | 0.059       | 0.041          | 0.222           | 0.644       |
| Iberville                         | 0.061      | 0.021       | 0.084          | 0.190           | 0.644       |
| Schleicher                        | 0.002      | 0.029       | 0.054          | 0.271           | 0.644       |
| Salt Lake                         | 0.028      | 0.032       | 0.094          | 0.202           | 0.644       |
| San Juan                          | 0.040      | 0.064       | 0.042          | 0.210           | 0.644       |
| Benton                            | 0.081      | 0.034       | 0.083          | 0.160           | 0.643       |
| Lauderdale                        | 0.036      | 0.018       | 0.105          | 0.197           | 0.643       |
| Halifax                           | 0.092      | 0.028       | 0.072          | 0.165           | 0.643       |
| Orange                            | 0.033      | 0.132       | 0.038          | 0.153           | 0.643       |
| Wise                              | 0.025      | 0.075       | 0.099          | 0.158           | 0.643       |
| East Baton Rouge                  | 0.052      | 0.031       | 0.090          | 0.183           | 0.642       |
| Washington                        | 0.031      | 0.047       | 0.085          | 0.194           | 0.642       |
| Noxubee                           | 0.009      | 0.034       | 0.112          | 0.203           | 0.642       |
| Johnson                           | 0.024      | 0.079       | 0.056          | 0.199           | 0.642       |
| Forsyth                           | 0.035      | 0.048       | 0.083          | 0.193           | 0.641       |
| Sumter                            | 0.055      | 0.056       | 0.046          | 0.202           | 0.641       |
| Kent                              | 0.019      | 0.061       | 0.063          | 0.215           | 0.641       |
| Anson                             | 0.053      | 0.062       | 0.080          | 0.163           | 0.641       |
| Colleton                          | 0.088      | 0.077       | 0.094          | 0.100           | 0.641       |
| Walla Walla                       | 0.083      | 0.022       | 0.061          | 0.193           | 0.641       |
| Dane                              | 0.017      | 0.020       | 0.092          | 0.230           | 0.641       |
| Charlotte                         | 0.051      | 0.049       | 0.101          | 0.158           | 0.640       |
| Monona                            | 0.078      | 0.069       | 0.087          | 0.127           | 0.640       |
| St. Clair                         | 0.051      | 0.069       | 0.046          | 0.194           | 0.640       |
| Delaware                          | 0.018      | 0.081       | 0.084          | 0.177           | 0.640       |
| Montgomery                        | 0.056      | 0.042       | 0.090          | 0.171           | 0.640       |
| Prince Edward                     | 0.059      | 0.009       | 0.138          | 0.154           | 0.640       |
| Richmond                          | 0.015      | 0.070       | 0.109          | 0.167           | 0.640       |
| Petersburg city                   | 0.034      | 0.033       | 0.116          | 0.177           | 0.640       |
| Hale                              | 0.026      | 0.061       | 0.084          | 0.191           | 0.639       |
| Yavapai                           | 0.031      | 0.073       | 0.081          | 0.176           | 0.639       |
| Gwinnett                          | 0.036      | 0.054       | 0.081          | 0.190           | 0.639       |
| Camas                             | 0.186      | 0.030       | 0.047          | 0.098           | 0.639       |
| Rockingham                        | 0.018      | 0.057       | 0.074          | 0.212           | 0.639       |
| Navarro                           | 0.006      | 0.024       | 0.114          | 0.217           | 0.639       |
| Rutland                           | 0.031      | 0.037       | 0.088          | 0.205           | 0.639       |
| Buena Vista city                  | 0.018      | 0.150       | 0.068          | 0.125           | 0.639       |
| Platte                            | 0.044      | 0.040       | 0.088          | 0.189           | 0.638       |
| Martin                            | 0.108      | 0.055       | 0.096          | 0.104           | 0.637       |
| Roscommon                         | 0.012      | 0.037       | 0.097          | 0.217           | 0.637       |
| Lee                               | 0.066      | 0.102       | 0.081          | 0.115           | 0.636       |
| Gaines                            | 0.121      | 0.034       | 0.033          | 0.176           | 0.636       |
| Hardin                            | 0.021      | 0.054       | 0.102          | 0.187           | 0.636       |
| Highlands                         | 0.025      | 0.056       | 0.145          | 0.138           | 0.635       |
| Crisp                             | 0.119      | 0.023       | 0.060          | 0.163           | 0.635       |
| Zavala                            | 0.036      | 0.075       | 0.115          | 0.138           | 0.635       |
| Jefferson                         | 0.026      | 0.069       | 0.090          | 0.182           | 0.634       |
| Chaves                            | 0.074      | 0.040       | 0.108          | 0.144           | 0.634       |
| Warren                            | 0.009      | 0.019       | 0.114          | 0.224           | 0.634       |
| Portsmouth city                   | 0.000      | 0.019       | 0.122          | 0.225           | 0.634       |
| Monroe                            | 0.048      | 0.063       | 0.116          | 0.140           | 0.634       |
| Kodiak Island Borough             | 0.042      | 0.043       | 0.049          | 0.233           | 0.633       |
| Pitkin                            | 0.019      | 0.014       | 0.016          | 0.318           | 0.633       |
| Shawnee                           | 0.009      | 0.078       | 0.095          | 0.184           | 0.633       |
| Leake                             | 0.031      | 0.040       | 0.139          | 0.158           | 0.633       |
| Crook                             | 0.019      | 0.075       | 0.027          | 0.246           | 0.633       |
| Lake                              | 0.047      | 0.062       | 0.074          | 0.185           | 0.632       |
| Gaston                            | 0.038      | 0.079       | 0.054          | 0.197           | 0.632       |
| Freestone                         | 0.025      | 0.121       | 0.085          | 0.137           | 0.632       |
| Craig                             | 0.017      | 0.022       | 0.148          | 0.182           | 0.632       |
| Vance                             | 0.042      | 0.031       | 0.137          | 0.159           | 0.631       |
| Geauga                            | 0.030      | 0.057       | 0.064          | 0.218           | 0.631       |
| Williamsburg                      | 0.034      | 0.057       | 0.120          | 0.158           | 0.631       |
| Newton                            | 0.057      | 0.049       | 0.110          | 0.152           | 0.631       |
| Essex                             | 0.054      | 0.075       | 0.083          | 0.158           | 0.631       |
| Westmoreland                      | 0.079      | 0.036       | 0.127          | 0.127           | 0.631       |
| Price                             | 0.059      | 0.081       | 0.079          | 0.150           | 0.631       |
| Polk                              | 0.050      | 0.063       | 0.085          | 0.172           | 0.630       |
| Mitchell                          | 0.044      | 0.112       | 0.055          | 0.159           | 0.630       |
| Erie                              | 0.078      | 0.022       | 0.091          | 0.179           | 0.630       |
| Salem city                        | 0.064      | 0.039       | 0.068          | 0.199           | 0.630       |
| Duval                             | 0.049      | 0.042       | 0.086          | 0.194           | 0.629       |
| Floyd                             | 0.049      | 0.063       | 0.043          | 0.216           | 0.629       |
| Whitman                           | 0.002      | 0.009       | 0.049          | 0.310           | 0.629       |
| Jefferson                         | 0.049      | 0.037       | 0.107          | 0.179           | 0.628       |
| Sumter                            | 0.037      | 0.036       | 0.064          | 0.235           | 0.628       |
| Jessamine                         | 0.022      | 0.036       | 0.104          | 0.210           | 0.628       |
| Dooly                             | 0.077      | 0.034       | 0.058          | 0.204           | 0.627       |
| Oglethorpe                        | 0.056      | 0.082       | 0.054          | 0.181           | 0.627       |
| Grayson                           | 0.043      | 0.042       | 0.134          | 0.154           | 0.627       |
| Bay                               | 0.014      | 0.055       | 0.103          | 0.202           | 0.627       |
| Windsor                           | 0.061      | 0.055       | 0.030          | 0.227           | 0.627       |
| Door                              | 0.021      | 0.030       | 0.059          | 0.264           | 0.627       |
| Butte                             | 0.015      | 0.043       | 0.111          | 0.204           | 0.626       |
| Manatee                           | 0.074      | 0.037       | 0.062          | 0.201           | 0.626       |
| Charlevoix                        | 0.027      | 0.057       | 0.085          | 0.205           | 0.626       |
| Midland                           | 0.031      | 0.030       | 0.098          | 0.214           | 0.626       |
| Robeson                           | 0.062      | 0.031       | 0.116          | 0.165           | 0.626       |
| Wheeler                           | 0.023      | 0.070       | 0.049          | 0.232           | 0.626       |
| Tensas                            | 0.081      | 0.064       | 0.097          | 0.134           | 0.625       |
| Knox                              | 0.007      | 0.010       | 0.111          | 0.248           | 0.625       |
| Antrim                            | 0.027      | 0.042       | 0.088          | 0.218           | 0.625       |
| Trinity                           | 0.052      | 0.077       | 0.065          | 0.181           | 0.625       |
| Wharton                           | 0.011      | 0.072       | 0.076          | 0.216           | 0.625       |
| Amherst                           | 0.064      | 0.033       | 0.074          | 0.204           | 0.625       |
| Cowlitz                           | 0.041      | 0.020       | 0.098          | 0.216           | 0.625       |
| Chatham                           | 0.035      | 0.040       | 0.144          | 0.158           | 0.624       |
| Clayton                           | 0.038      | 0.054       | 0.125          | 0.159           | 0.624       |
| Edmonson                          | 0.055      | 0.057       | 0.086          | 0.179           | 0.624       |
| Letcher                           | 0.078      | 0.050       | 0.127          | 0.122           | 0.624       |
| Lynn                              | 0.032      | 0.068       | 0.054          | 0.222           | 0.624       |
| Greene                            | 0.030      | 0.053       | 0.127          | 0.167           | 0.623       |
| Beaufort                          | 0.037      | 0.080       | 0.041          | 0.219           | 0.623       |
| Gregg                             | 0.053      | 0.064       | 0.074          | 0.186           | 0.623       |
| Lapeer                            | 0.036      | 0.105       | 0.104          | 0.133           | 0.622       |
| Forest                            | 0.016      | 0.008       | 0.158          | 0.196           | 0.622       |
| Coryell                           | 0.015      | 0.027       | 0.142          | 0.194           | 0.622       |
| Long                              | 0.014      | 0.119       | 0.086          | 0.159           | 0.621       |
| Yadkin                            | 0.073      | 0.027       | 0.080          | 0.199           | 0.621       |
| Comanche                          | 0.045      | 0.075       | 0.059          | 0.200           | 0.621       |
| Duplin                            | 0.068      | 0.044       | 0.143          | 0.126           | 0.620       |
| Mercer                            | 0.028      | 0.044       | 0.094          | 0.215           | 0.620       |
| Richland                          | 0.030      | 0.016       | 0.099          | 0.235           | 0.620       |
| Baylor                            | 0.066      | 0.075       | 0.134          | 0.104           | 0.620       |
| Kingfisher                        | 0.046      | 0.093       | 0.050          | 0.192           | 0.619       |
| Prince George                     | 0.033      | 0.033       | 0.127          | 0.189           | 0.619       |
| Hampshire                         | 0.021      | 0.035       | 0.088          | 0.236           | 0.619       |
| Chilton                           | 0.060      | 0.070       | 0.058          | 0.194           | 0.618       |
| Perry                             | 0.025      | 0.084       | 0.087          | 0.187           | 0.618       |
| Volusia                           | 0.035      | 0.066       | 0.089          | 0.192           | 0.618       |
| Emmet                             | 0.025      | 0.062       | 0.075          | 0.219           | 0.618       |
| Orange                            | 0.051      | 0.070       | 0.105          | 0.157           | 0.618       |
| Waller                            | 0.016      | 0.060       | 0.070          | 0.236           | 0.618       |
| Sierra                            | 0.140      | 0.053       | 0.047          | 0.143           | 0.617       |
| Washington                        | 0.104      | 0.070       | 0.053          | 0.157           | 0.617       |
| Madison                           | 0.034      | 0.068       | 0.109          | 0.172           | 0.617       |
| Penobscot                         | 0.038      | 0.071       | 0.085          | 0.189           | 0.617       |
| Luce                              | 0.028      | 0.030       | 0.088          | 0.237           | 0.617       |
| Franklin                          | 0.042      | 0.054       | 0.090          | 0.198           | 0.617       |
| Galveston                         | 0.033      | 0.037       | 0.105          | 0.207           | 0.617       |
| Okanogan                          | 0.042      | 0.066       | 0.075          | 0.199           | 0.617       |
| Oceana                            | 0.074      | 0.033       | 0.114          | 0.163           | 0.616       |
| Saginaw                           | 0.031      | 0.073       | 0.082          | 0.197           | 0.616       |
| Hoke                              | 0.009      | 0.047       | 0.092          | 0.236           | 0.616       |
| Jackson                           | 0.077      | 0.065       | 0.067          | 0.176           | 0.616       |
| Kershaw                           | 0.062      | 0.019       | 0.114          | 0.189           | 0.616       |
| Lewis                             | 0.033      | 0.112       | 0.128          | 0.111           | 0.616       |
| Modoc                             | 0.068      | 0.019       | 0.095          | 0.204           | 0.615       |
| Merrimack                         | 0.085      | 0.067       | 0.075          | 0.158           | 0.615       |
| Union                             | 0.060      | 0.045       | 0.067          | 0.213           | 0.615       |
| Llano                             | 0.080      | 0.036       | 0.056          | 0.214           | 0.615       |
| Liberty                           | 0.007      | 0.099       | 0.066          | 0.215           | 0.614       |
| Morgan                            | 0.061      | 0.064       | 0.093          | 0.168           | 0.614       |
| Harding                           | 0.057      | 0.152       | 0.062          | 0.115           | 0.614       |
| Lycoming                          | 0.062      | 0.057       | 0.060          | 0.207           | 0.614       |
| Borden                            | 0.039      | 0.115       | 0.125          | 0.107           | 0.614       |
| Frederick                         | 0.026      | 0.048       | 0.048          | 0.264           | 0.614       |
| Pendleton                         | 0.035      | 0.121       | 0.103          | 0.129           | 0.613       |
| Randolph                          | 0.066      | 0.078       | 0.105          | 0.138           | 0.613       |
| Crosby                            | 0.031      | 0.071       | 0.058          | 0.227           | 0.613       |
| Terry                             | 0.034      | 0.066       | 0.061          | 0.226           | 0.613       |
| Tom Green                         | 0.007      | 0.038       | 0.071          | 0.271           | 0.613       |
| Alpine                            | 0.025      | 0.085       | 0.088          | 0.190           | 0.612       |
| Johnson                           | 0.102      | 0.053       | 0.106          | 0.127           | 0.612       |
| Washington                        | 0.026      | 0.032       | 0.126          | 0.204           | 0.612       |
| Alpena                            | 0.025      | 0.040       | 0.144          | 0.180           | 0.612       |
| Lenawee                           | 0.018      | 0.027       | 0.083          | 0.260           | 0.612       |
| Issaquena                         | 0.030      | 0.060       | 0.137          | 0.162           | 0.612       |
| Pitt                              | 0.034      | 0.065       | 0.085          | 0.204           | 0.612       |
| Richmond                          | 0.050      | 0.039       | 0.145          | 0.153           | 0.612       |
| Garza                             | 0.034      | 0.079       | 0.067          | 0.207           | 0.612       |
| King and Queen                    | 0.007      | 0.041       | 0.149          | 0.191           | 0.612       |
| Kewaunee                          | 0.033      | 0.035       | 0.112          | 0.208           | 0.612       |
| Oconee                            | 0.049      | 0.063       | 0.095          | 0.181           | 0.611       |
| Fremont                           | 0.048      | 0.061       | 0.071          | 0.209           | 0.611       |
| St. Tammany                       | 0.031      | 0.073       | 0.074          | 0.211           | 0.611       |
| Muskegon                          | 0.084      | 0.045       | 0.100          | 0.160           | 0.611       |
| Schoolcraft                       | 0.041      | 0.021       | 0.140          | 0.187           | 0.611       |
| Winchester city                   | 0.025      | 0.056       | 0.032          | 0.277           | 0.611       |
| Hart                              | 0.053      | 0.034       | 0.118          | 0.185           | 0.610       |
| Humphreys                         | 0.117      | 0.071       | 0.098          | 0.104           | 0.610       |
| Lincoln                           | 0.048      | 0.019       | 0.147          | 0.177           | 0.610       |
| Hood River                        | 0.030      | 0.071       | 0.127          | 0.162           | 0.610       |
| Hood                              | 0.009      | 0.122       | 0.135          | 0.124           | 0.610       |
| Irion                             | 0.009      | 0.047       | 0.058          | 0.276           | 0.610       |
| Lubbock                           | 0.031      | 0.072       | 0.056          | 0.232           | 0.610       |
| Appomattox                        | 0.063      | 0.018       | 0.105          | 0.204           | 0.610       |
| Charlotte                         | 0.084      | 0.025       | 0.148          | 0.133           | 0.610       |
| Citrus                            | 0.090      | 0.036       | 0.087          | 0.178           | 0.609       |
| Warren                            | 0.076      | 0.067       | 0.063          | 0.185           | 0.609       |
| Jackson                           | 0.027      | 0.066       | 0.088          | 0.210           | 0.609       |
| Cheshire                          | 0.020      | 0.075       | 0.093          | 0.202           | 0.609       |
| Cuyahoga                          | 0.042      | 0.052       | 0.084          | 0.213           | 0.609       |
| Ottawa                            | 0.052      | 0.035       | 0.084          | 0.219           | 0.609       |
| Erath                             | 0.017      | 0.096       | 0.075          | 0.202           | 0.609       |
| Hale                              | 0.066      | 0.058       | 0.028          | 0.239           | 0.609       |
| Grant                             | 0.047      | 0.056       | 0.183          | 0.106           | 0.608       |
| Pointe Coupee                     | 0.044      | 0.082       | 0.068          | 0.198           | 0.608       |
| Yazoo                             | 0.050      | 0.038       | 0.145          | 0.159           | 0.608       |
| Jefferson                         | 0.036      | 0.075       | 0.110          | 0.171           | 0.608       |
| Colonial Heights city             | 0.044      | 0.045       | 0.126          | 0.177           | 0.608       |
| Brevard                           | 0.068      | 0.073       | 0.096          | 0.157           | 0.607       |
| Indian River                      | 0.054      | 0.065       | 0.082          | 0.193           | 0.607       |
| Montgomery                        | 0.041      | 0.065       | 0.065          | 0.222           | 0.607       |
| Gilliam                           | 0.008      | 0.003       | 0.049          | 0.332           | 0.607       |
| Franklin                          | 0.023      | 0.040       | 0.082          | 0.248           | 0.607       |
| Concho                            | 0.012      | 0.029       | 0.072          | 0.279           | 0.607       |
| Roanoke                           | 0.065      | 0.045       | 0.077          | 0.205           | 0.607       |
| Harlan                            | 0.076      | 0.093       | 0.098          | 0.126           | 0.606       |
| Adams                             | 0.039      | 0.034       | 0.083          | 0.238           | 0.606       |
| Crockett                          | 0.026      | 0.071       | 0.072          | 0.225           | 0.606       |
| Pierce                            | 0.028      | 0.057       | 0.103          | 0.206           | 0.606       |
| Worth                             | 0.069      | 0.056       | 0.083          | 0.187           | 0.605       |
| Bureau                            | 0.012      | 0.019       | 0.156          | 0.208           | 0.605       |
| Queen Anne's                      | 0.002      | 0.042       | 0.041          | 0.309           | 0.605       |
| Martin                            | 0.084      | 0.089       | 0.071          | 0.150           | 0.605       |
| Clarion                           | 0.057      | 0.030       | 0.152          | 0.155           | 0.605       |
| Kanawha                           | 0.145      | 0.039       | 0.064          | 0.147           | 0.605       |
| Henderson                         | 0.096      | 0.044       | 0.101          | 0.155           | 0.604       |
| Columbia                          | 0.048      | 0.015       | 0.158          | 0.174           | 0.604       |
| Williamson                        | 0.019      | 0.073       | 0.091          | 0.212           | 0.604       |
| Washington                        | 0.051      | 0.190       | 0.104          | 0.050           | 0.604       |
| El Paso                           | 0.031      | 0.089       | 0.081          | 0.196           | 0.603       |
| Clarke                            | 0.054      | 0.057       | 0.060          | 0.226           | 0.603       |
