mysql root@(none):covid_data> select cdc.`County_ID`, max(cdc.`Cases`) as `Cases`, max(cdc.`Deaths`) as `Deaths`, c.`Always_Mask` from `County` as c join `County_Date_Cases` as cdc where cdc.`County_ID` = c.`County_ID` group by cdc.`County_ID` having (c.`Always_Mask` > 0.75) order by max(cdc.`Cases`) desc;
+-----------+---------+--------+-------------+
| County_ID | Cases   | Deaths | Always_Mask |
| 24037     | 5201    | 115    | 0.763       |
| 51003     | 4973    | 72     | 0.810       |
| 42025     | 4943    | 152    | 0.764       |
| 36045     | 4910    | 63     | 0.780       |
| 25003     | 4901    | 262    | 0.834       |
| 36105     | 4891    | 60     | 0.817       |
| 48325     | 4693    | 97     | 0.753       |
| 36043     | 4609    | 107    | 0.758       |
| 36117     | 4540    | 65     | 0.789       |
| 36009     | 4499    | 77     | 0.793       |
| 36037     | 4483    | 119    | 0.781       |
| 44001     | 4247    | 134    | 0.827       |
| 21209     | 4214    | 26     | 0.759       |
| 37037     | 4166    | 78     | 0.766       |
| 48409     | 4072    | 139    | 0.838       |
| 51061     | 4020    | 57     | 0.772       |
| 36053     | 3896    | 85     | 0.832       |
| 6045      | 3842    | 44     | 0.770       |
| 36019     | 3788    | 27     | 0.773       |
| 51540     | 3672    | 47     | 0.833       |
| 36051     | 3611    | 56     | 0.835       |
| 36109     | 3523    | 43     | 0.833       |
| 48025     | 3459    | 65     | 0.753       |
| 36021     | 3456    | 96     | 0.848       |
| 35006     | 3409    | 105    | 0.839       |
| 24047     | 3284    | 93     | 0.842       |
| 6023      | 3266    | 33     | 0.865       |
| 36023     | 3241    | 60     | 0.803       |
| 6033      | 3189    | 41     | 0.849       |
| 42127     | 3129    | 68     | 0.828       |
| 51199     | 3114    | 39     | 0.786       |
| 8117      | 3073    | 8      | 0.784       |
| 42083     | 3073    | 64     | 0.820       |
| 15009     | 2960    | 35     | 0.803       |
| 36003     | 2930    | 81     | 0.771       |
| 36121     | 2885    | 49     | 0.861       |
| 36107     | 2864    | 56     | 0.839       |
| 36039     | 2709    | 71     | 0.788       |
| 48293     | 2658    | 66     | 0.762       |
| 42103     | 2639    | 48     | 0.777       |
| 48177     | 2627    | 52     | 0.828       |
| 51001     | 2625    | 35     | 0.824       |
| 36077     | 2486    | 43     | 0.779       |
| 48489     | 2464    | 80     | 0.820       |
| 24039     | 2401    | 32     | 0.812       |
| 41003     | 2377    | 18     | 0.770       |
| 24019     | 2376    | 45     | 0.844       |
| 15001     | 2305    | 53     | 0.799       |
| 36049     | 2103    | 30     | 0.765       |
| 24011     | 2058    | 20     | 0.770       |
| 25011     | 2016    | 101    | 0.762       |
| 24041     | 1907    | 35     | 0.843       |
| 48123     | 1871    | 57     | 0.827       |
| 51630     | 1792    | 22     | 0.784       |
| 48505     | 1742    | 29     | 0.779       |
| 42115     | 1735    | 54     | 0.822       |
| 48115     | 1711    | 68     | 0.759       |
| 36099     | 1655    | 54     | 0.864       |
| 21017     | 1568    | 12     | 0.769       |
| 35055     | 1556    | 49     | 0.785       |
| 21097     | 1532    | 9      | 0.804       |
| 50003     | 1497    | 9      | 0.770       |
| 53029     | 1363    | 27     | 0.759       |
| 6027      | 1312    | 37     | 0.889       |
| 51065     | 1308    | 16     | 0.772       |
| 8049      | 1289    | 6      | 0.754       |
| 36095     | 1251    | 13     | 0.825       |
| 35047     | 1245    | 13     | 0.800       |
| 51075     | 1234    | 17     | 0.761       |
| 6051      | 1198    | 4      | 0.880       |
| 42131     | 1188    | 42     | 0.836       |
| 25019     | 1182    | 2      | 0.792       |
| 41041     | 1140    | 20     | 0.810       |
| 36123     | 1024    | 26     | 0.884       |
| 25007     | 875     | 0      | 0.786       |
| 48377     | 797     | 24     | 0.789       |
| 41007     | 779     | 6      | 0.797       |
| 13273     | 772     | 43     | 0.755       |
| 51131     | 727     | 34     | 0.761       |
| 48031     | 687     | 18     | 0.788       |
| 8065      | 661     | 0      | 0.753       |
| 35019     | 615     | 9      | 0.766       |
| 51115     | 556     | 11     | 0.760       |
| 48229     | 503     | 11     | 0.880       |
| 51610     | 359     | 9      | 0.765       |
| 53043     | 341     | 5      | 0.765       |
| 53031     | 338     | 2      | 0.754       |
| 42113     | 315     | 19     | 0.760       |
| 32021     | 303     | 6      | 0.755       |
| 53059     | 256     | 1      | 0.760       |
| 15007     | 188     | 1      | 0.825       |
| 48243     | 188     | 2      | 0.763       |
| 8047      | 172     | 3      | 0.785       |
| 35033     | 162     | 6      | 0.806       |
| 35003     | 83      | 5      | 0.762       |
| 32029     | 81      | 3      | 0.782       |
| 32009     | 37      | 0      | 0.872       |
| 48261     | 33      | 2      | 0.772       |
| 15005     | 1       | 0      | 0.850       |
+-----------+---------+--------+-------------+
mysql root@(none):covid_data> notee;
