mysql root@(none):covid_data> select max(Cases.`Cases`) as `Cases`, C.`Name` as `County_Name`, S.`Name` as `State_Name`  from `County_Date_Cases` as Cases left join `County` as C on Cases.`County_ID` = C.`County_ID`  left join `State` as S on S.`State_ID` = C.`State_ID` group by C.`County_ID`;

+---------+-----------------------------------+----------------+
| Cases   | County_Name                       | State_Name     |
| 538     | Lafayette                         | Arkansas       |
| 2055    | Lawrence                          | Arkansas       |
| 1646    | Lee                               | Arkansas       |
| 3158    | Lincoln                           | Arkansas       |
| 1187    | Little River                      | Arkansas       |
| 2187    | Logan                             | Arkansas       |
| 6905    | Lonoke                            | Arkansas       |
| 1411    | Madison                           | Arkansas       |
| 981     | Marion                            | Arkansas       |
| 4077    | Miller                            | Arkansas       |
| 5688    | Mississippi                       | Arkansas       |
| 837     | Monroe                            | Arkansas       |
| 739     | Montgomery                        | Arkansas       |
| 797     | Nevada                            | Arkansas       |
| 696     | Newton                            | Arkansas       |
| 2239    | Ouachita                          | Arkansas       |
| 806     | Perry                             | Arkansas       |
| 1717    | Phillips                          | Arkansas       |
| 981     | Pike                              | Arkansas       |
| 3086    | Poinsett                          | Arkansas       |
| 1913    | Polk                              | Arkansas       |
| 7776    | Pope                              | Arkansas       |
| 880     | Prairie                           | Arkansas       |
| 37642   | Pulaski                           | Arkansas       |
| 2018    | Randolph                          | Arkansas       |
| 11512   | Saline                            | Arkansas       |
| 927     | Scott                             | Arkansas       |
| 665     | Searcy                            | Arkansas       |
| 14728   | Sebastian                         | Arkansas       |
| 2732    | Sevier                            | Arkansas       |
| 1529    | Sharp                             | Arkansas       |
| 3456    | St. Francis                       | Arkansas       |
| 971     | Stone                             | Arkansas       |
| 3777    | Union                             | Arkansas       |
| 1215    | Van Buren                         | Arkansas       |
| 29603   | Washington                        | Arkansas       |
| 7626    | White                             | Arkansas       |
| 626     | Woodruff                          | Arkansas       |
| 3386    | Yell                              | Arkansas       |
| 81366   | Alameda                           | California     |
| 78      | Alpine                            | California     |
| 3486    | Amador                            | California     |
| 11065   | Butte                             | California     |
| 1904    | Calaveras                         | California     |
| 2142    | Colusa                            | California     |
| 63400   | Contra Costa                      | California     |
| 1027    | Del Norte                         | California     |
| 9166    | El Dorado                         | California     |
| 96366   | Fresno                            | California     |
| 2241    | Glenn                             | California     |
| 3266    | Humboldt                          | California     |
| 27009   | Imperial                          | California     |
| 1312    | Inyo                              | California     |
| 104242  | Kern                              | California     |
| 22184   | Kings                             | California     |
| 3189    | Lake                              | California     |
| 5623    | Lassen                            | California     |
| 1203799 | Los Angeles                       | California     |
| 15646   | Madera                            | California     |
| 13289   | Marin                             | California     |
| 395     | Mariposa                          | California     |
| 3842    | Mendocino                         | California     |
| 29376   | Merced                            | California     |
| 338     | Modoc                             | California     |
| 1198    | Mono                              | California     |
| 42404   | Monterey                          | California     |
| 9130    | Napa                              | California     |
| 4044    | Nevada                            | California     |
| 262674  | Orange                            | California     |
| 20035   | Placer                            | California     |
| 635     | Plumas                            | California     |
| 290904  | Riverside                         | California     |
| 94331   | Sacramento                        | California     |
| 5793    | San Benito                        | California     |
| 287867  | San Bernardino                    | California     |
| 262844  | San Diego                         | California     |
| 34563   | San Francisco                     | California     |
| 67284   | San Joaquin                       | California     |
| 19835   | San Luis Obispo                   | California     |
| 39384   | San Mateo                         | California     |
| 32347   | Santa Barbara                     | California     |
| 111814  | Santa Clara                       | California     |
| 14790   | Santa Cruz                        | California     |
| 11086   | Shasta                            | California     |
| 48      | Sierra                            | California     |
| 1790    | Siskiyou                          | California     |
| 30310   | Solano                            | California     |
| 28484   | Sonoma                            | California     |
| 56702   | Stanislaus                        | California     |
| 8923    | Sutter                            | California     |
| 4610    | Tehama                            | California     |
| 303     | Trinity                           | California     |
| 48203   | Tulare                            | California     |
| 3972    | Tuolumne                          | California     |
| 78439   | Ventura                           | California     |
| 12951   | Yolo                              | California     |
| 5795    | Yuba                              | California     |
| 49858   | Adams                             | Colorado       |
| 1310    | Alamosa                           | Colorado       |
| 49985   | Arapahoe                          | Colorado       |
| 675     | Archuleta                         | Colorado       |
| 273     | Baca                              | Colorado       |
| 1481    | Bent                              | Colorado       |
| 19283   | Boulder                           | Colorado       |
| 3852    | Broomfield                        | Colorado       |
| 1464    | Chaffee                           | Colorado       |
| 125     | Cheyenne                          | Colorado       |
| 368     | Clear Creek                       | Colorado       |
| 446     | Conejos                           | Colorado       |
| 191     | Costilla                          | Colorado       |
| 2073    | Crowley                           | Colorado       |
| 164     | Custer                            | Colorado       |
| 2485    | Delta                             | Colorado       |
| 60544   | Denver                            | Colorado       |
| 69      | Dolores                           | Colorado       |
| 22252   | Douglas                           | Colorado       |
| 5224    | Eagle                             | Colorado       |
| 52976   | El Paso                           | Colorado       |
| 1297    | Elbert                            | Colorado       |
| 5527    | Fremont                           | Colorado       |
| 5141    | Garfield                          | Colorado       |
| 172     | Gilpin                            | Colorado       |
| 1289    | Grand                             | Colorado       |
| 1212    | Gunnison                          | Colorado       |
| 17      | Hinsdale                          | Colorado       |
| 316     | Huerfano                          | Colorado       |
| 51      | Jackson                           | Colorado       |
| 37933   | Jefferson                         | Colorado       |
| 91      | Kiowa                             | Colorado       |
| 546     | Kit Carson                        | Colorado       |
| 3024    | La Plata                          | Colorado       |
| 661     | Lake                              | Colorado       |
| 20524   | Larimer                           | Colorado       |
| 1007    | Las Animas                        | Colorado       |
| 999     | Lincoln                           | Colorado       |
| 3755    | Logan                             | Colorado       |
| 13467   | Mesa                              | Colorado       |
| 69      | Mineral                           | Colorado       |
| 681     | Moffat                            | Colorado       |
| 1738    | Montezuma                         | Colorado       |
| 3275    | Montrose                          | Colorado       |
| 2450    | Morgan                            | Colorado       |
| 1866    | Otero                             | Colorado       |
| 262     | Ouray                             | Colorado       |
| 562     | Park                              | Colorado       |
| 340     | Phillips                          | Colorado       |
| 2084    | Pitkin                            | Colorado       |
| 1162    | Prowers                           | Colorado       |
| 15177   | Pueblo                            | Colorado       |
| 485     | Rio Blanco                        | Colorado       |
| 724     | Rio Grande                        | Colorado       |
| 1930    | Routt                             | Colorado       |
| 326     | Saguache                          | Colorado       |
| 43      | San Juan                          | Colorado       |
| 829     | San Miguel                        | Colorado       |
| 191     | Sedgwick                          | Colorado       |
| 3073    | Summit                            | Colorado       |
| 1287    | Teller                            | Colorado       |
| 398     | Washington                        | Colorado       |
| 25926   | Weld                              | Colorado       |
| 723     | Yuma                              | Colorado       |
| 81783   | Fairfield                         | Connecticut    |
| 71020   | Hartford                          | Connecticut    |
| 11293   | Litchfield                        | Connecticut    |
| 10594   | Middlesex                         | Connecticut    |
| 72947   | New Haven                         | Connecticut    |
| 19445   | New London                        | Connecticut    |
| 7972    | Tolland                           | Connecticut    |
| 9294    | Windham                           | Connecticut    |
| 14627   | Kent                              | Delaware       |
| 50614   | New Castle                        | Delaware       |
| 22918   | Sussex                            | Delaware       |
| 41419   | District of Columbia              | DC             |
| 22599   | Alachua                           | Florida        |
| 3313    | Baker                             | Florida        |
| 19034   | Bay                               | Florida        |
| 2867    | Bradford                          | Florida        |
| 34767   | Brevard                           | Florida        |
| 199643  | Broward                           | Florida        |
| 1623    | Calhoun                           | Florida        |
| 10836   | Charlotte                         | Florida        |
| 9882    | Citrus                            | Florida        |
| 16867   | Clay                              | Florida        |
| 30777   | Collier                           | Florida        |
| 7726    | Columbia                          | Florida        |
| 3872    | DeSoto                            | Florida        |
| 1513    | Dixie                             | Florida        |
| 89724   | Duval                             | Florida        |
| 34134   | Escambia                          | Florida        |
| 6135    | Flagler                           | Florida        |
| 1279    | Franklin                          | Florida        |
| 5482    | Gadsden                           | Florida        |
| 1431    | Gilchrist                         | Florida        |
| 907     | Glades                            | Florida        |
| 1881    | Gulf                              | Florida        |
| 1572    | Hamilton                          | Florida        |
| 2819    | Hardee                            | Florida        |
| 4346    | Hendry                            | Florida        |
| 11612   | Hernando                          | Florida        |
| 7341    | Highlands                         | Florida        |
| 113623  | Hillsborough                      | Florida        |
| 2195    | Holmes                            | Florida        |
| 11196   | Indian River                      | Florida        |
| 5961    | Jackson                           | Florida        |
| 1409    | Jefferson                         | Florida        |
| 1595    | Lafayette                         | Florida        |
| 25156   | Lake                              | Florida        |
| 58767   | Lee                               | Florida        |
| 29519   | Leon                              | Florida        |
| 2933    | Levy                              | Florida        |
| 1048    | Liberty                           | Florida        |
| 2014    | Madison                           | Florida        |
| 32603   | Manatee                           | Florida        |
| 28074   | Marion                            | Florida        |
| 10801   | Martin                            | Florida        |
| 419478  | Miami-Dade                        | Florida        |
| 5986    | Monroe                            | Florida        |
| 7799    | Nassau                            | Florida        |
| 19237   | Okaloosa                          | Florida        |
| 3601    | Okeechobee                        | Florida        |
| 116366  | Orange                            | Florida        |
| 37497   | Osceola                           | Florida        |
| 123302  | Palm Beach                        | Florida        |
| 34054   | Pasco                             | Florida        |
| 67844   | Pinellas                          | Florida        |
| 58116   | Polk                              | Florida        |
| 5897    | Putnam                            | Florida        |
| 17314   | Santa Rosa                        | Florida        |
| 27472   | Sarasota                          | Florida        |
| 27792   | Seminole                          | Florida        |
| 20334   | St. Johns                         | Florida        |
| 22653   | St. Lucie                         | Florida        |
| 8192    | Sumter                            | Florida        |
| 5146    | Suwannee                          | Florida        |
| 2658    | Taylor                            | Florida        |
| 1748    | Union                             | Florida        |
| 35159   | Volusia                           | Florida        |
| 3191    | Wakulla                           | Florida        |
| 7140    | Walton                            | Florida        |
| 2638    | Washington                        | Florida        |
| 2224    | Appling                           | Georgia        |
| 990     | Atkinson                          | Georgia        |
| 1366    | Bacon                             | Georgia        |
| 221     | Baker                             | Georgia        |
| 4306    | Baldwin                           | Georgia        |
| 1750    | Banks                             | Georgia        |
| 9123    | Barrow                            | Georgia        |
| 13341   | Bartow                            | Georgia        |
| 2055    | Ben Hill                          | Georgia        |
| 1751    | Berrien                           | Georgia        |
| 15094   | Bibb                              | Georgia        |
| 1439    | Bleckley                          | Georgia        |
| 1531    | Brantley                          | Georgia        |
| 1332    | Brooks                            | Georgia        |
| 3312    | Bryan                             | Georgia        |
| 6541    | Bulloch                           | Georgia        |
| 2411    | Burke                             | Georgia        |
| 2748    | Butts                             | Georgia        |
| 583     | Calhoun                           | Georgia        |
| 3763    | Camden                            | Georgia        |
| 923     | Candler                           | Georgia        |
| 10666   | Carroll                           | Georgia        |
| 5761    | Catoosa                           | Georgia        |
| 1320    | Charlton                          | Georgia        |
| 21335   | Chatham                           | Georgia        |
| 3141    | Chattahoochee                     | Georgia        |
| 2630    | Chattooga                         | Georgia        |
| 28133   | Cherokee                          | Georgia        |
| 14292   | Clarke                            | Georgia        |
| 232     | Clay                              | Georgia        |
| 23684   | Clayton                           | Georgia        |
| 930     | Clinch                            | Georgia        |
| 71038   | Cobb                              | Georgia        |
| 5233    | Coffee                            | Georgia        |
| 4491    | Colquitt                          | Georgia        |
| 15887   | Columbia                          | Georgia        |
| 1744    | Cook                              | Georgia        |
| 13162   | Coweta                            | Georgia        |
| 630     | Crawford                          | Georgia        |
| 1920    | Crisp                             | Georgia        |
| 1334    | Dade                              | Georgia        |
| 2860    | Dawson                            | Georgia        |
| 58488   | DeKalb                            | Georgia        |
| 2779    | Decatur                           | Georgia        |
| 2101    | Dodge                             | Georgia        |
| 1019    | Dooly                             | Georgia        |
| 7134    | Dougherty                         | Georgia        |
| 13717   | Douglas                           | Georgia        |
| 1128    | Early                             | Georgia        |
| 460     | Echols                            | Georgia        |
| 4306    | Effingham                         | Georgia        |
| 2245    | Elbert                            | Georgia        |
| 2476    | Emanuel                           | Georgia        |
| 922     | Evans                             | Georgia        |
| 2214    | Fannin                            | Georgia        |
| 8223    | Fayette                           | Georgia        |
| 11223   | Floyd                             | Georgia        |
| 20510   | Forsyth                           | Georgia        |
| 2579    | Franklin                          | Georgia        |
| 87797   | Fulton                            | Georgia        |
| 2817    | Gilmer                            | Georgia        |
| 260     | Glascock                          | Georgia        |
| 7696    | Glynn                             | Georgia        |
| 7708    | Gordon                            | Georgia        |
| 2032    | Grady                             | Georgia        |
| 1733    | Greene                            | Georgia        |
| 93796   | Gwinnett                          | Georgia        |
| 5091    | Habersham                         | Georgia        |
| 25906   | Hall                              | Georgia        |
| 886     | Hancock                           | Georgia        |
| 2475    | Haralson                          | Georgia        |
| 2372    | Harris                            | Georgia        |
| 2292    | Hart                              | Georgia        |
| 808     | Heard                             | Georgia        |
| 22454   | Henry                             | Georgia        |
| 13621   | Houston                           | Georgia        |
| 903     | Irwin                             | Georgia        |
| 9248    | Jackson                           | Georgia        |
| 1329    | Jasper                            | Georgia        |
| 1800    | Jeff Davis                        | Georgia        |
| 1877    | Jefferson                         | Georgia        |
| 820     | Jenkins                           | Georgia        |
| 1097    | Johnson                           | Georgia        |
| 1921    | Jones                             | Georgia        |
| 1908    | Lamar                             | Georgia        |
| 746     | Lanier                            | Georgia        |
| 5434    | Laurens                           | Georgia        |
| 2627    | Lee                               | Georgia        |
| 3267    | Liberty                           | Georgia        |
| 763     | Lincoln                           | Georgia        |
| 834     | Long                              | Georgia        |
| 11861   | Lowndes                           | Georgia        |
| 2811    | Lumpkin                           | Georgia        |
| 802     | Macon                             | Georgia        |
| 3112    | Madison                           | Georgia        |
