mysql root@(none):covid_data> Select `County_ID`, `College_ID`, `Name`  From `College`;
+-----------+------------+-------------------------------------------------------------------------------+
| County_ID | College_ID | Name                                                                          |
| 6037      | 40785      | Pitzer College                                                                |
| 6073      | 40786      | Point Loma Nazarene University                                                |
| 6037      | 40787      | Pomona College                                                                |
| 6037      | 40788      | Rio Hondo College                                                             |
| 6013      | 40789      | Saint Mary's College of California                                            |
| 6073      | 40790      | San Diego City College                                                        |
| 6073      | 40791      | San Diego Mesa College                                                        |
| 6073      | 40792      | San Diego Miramar College                                                     |
| 6073      | 40793      | San Diego State University System                                             |
| 6075      | 40794      | San Francisco State University                                                |
| 6085      | 40795      | San Jose State University                                                     |
| 6059      | 40796      | Santa Ana College                                                             |
| 6085      | 40797      | Santa Clara University                                                        |
| 6037      | 40798      | Santa Monica College                                                          |
| 6059      | 40799      | Santiago Canyon College                                                       |
| 6037      | 40800      | Scripps College                                                               |
| 6089      | 40801      | Shasta College                                                                |
| 6081      | 40802      | Skyline College                                                               |
| 6095      | 40803      | Solano Community College                                                      |
| 6097      | 40804      | Sonoma State University                                                       |
| 6073      | 40805      | Southwestern College                                                          |
| 6085      | 40806      | Stanford University                                                           |
| 6077      | 40807      | Teachers College of San Joaquin                                               |
| 6001      | 40808      | University of California, Berkeley                                            |
| 6113      | 40809      | University of California, Davis                                               |
| 6075      | 40810      | University of California, Hastings College of Law                             |
| 6059      | 40811      | University of California, Irvine                                              |
| 6037      | 40812      | University of California, Los Angeles                                         |
| 6047      | 40813      | University of California, Merced                                              |
| 6065      | 40814      | University of California, Riverside                                           |
| 6073      | 40815      | University of California, San Diego                                           |
| 6075      | 40816      | University of California, San Francisco                                       |
| 6083      | 40817      | University of California, Santa Barbara                                       |
| 6087      | 40818      | University of California, Santa Cruz                                          |
| 6037      | 40819      | University of La Verne                                                        |
| 6071      | 40820      | University of Redlands                                                        |
| 6073      | 40821      | University of San Diego                                                       |
| 6075      | 40822      | University of San Francisco                                                   |
| 6037      | 40823      | University of Southern California                                             |
| 6077      | 40824      | University of the Pacific                                                     |
| 6083      | 40825      | Westmont College                                                              |
| 6037      | 40826      | Whittier College                                                              |
| 8003      | 40827      | Adams State University                                                        |
| 8005      | 40828      | Arapahoe Community College                                                    |
| 8059      | 40829      | Colorado Christian University                                                 |
| 8041      | 40830      | Colorado College                                                              |
| 8077      | 40831      | Colorado Mesa University                                                      |
| 8045      | 40832      | Colorado Mountain College Glenwood Springs                                    |
| 8059      | 40833      | Colorado School of Mines                                                      |
| 8069      | 40834      | Colorado State University                                                     |
| 8101      | 40835      | Colorado State University-Pueblo                                              |
| 8005      | 40836      | Community College of Aurora                                                   |
| 8031      | 40837      | Community College of Denver                                                   |
| 8067      | 40838      | Fort Lewis College                                                            |
| 8001      | 40839      | Front Range Community College                                                 |
| 8031      | 40840      | Johnson & Wales University-Denver                                             |
| 8099      | 40841      | Lamar Community College                                                       |
| 8031      | 40842      | Metropolitan State University of Denver                                       |
| 8087      | 40843      | Morgan Community College                                                      |
| 8075      | 40844      | Northeastern Junior College                                                   |
| 8089      | 40845      | Otero Junior College                                                          |
| 8041      | 40846      | Pikes Peak Community College                                                  |
| 8101      | 40847      | Pueblo Community College                                                      |
| 8059      | 40848      | Red Rocks Community College                                                   |
| 8031      | 40849      | Regis University                                                              |
| 8071      | 40850      | Trinidad State Junior College                                                 |
| 8041      | 40851      | United States Air Force Academy                                               |
| 8013      | 40852      | University of Colorado Boulder                                                |
| 8041      | 40853      | University of Colorado Colorado Springs                                       |
| 8001      | 40854      | University of Colorado Denver and Anschutz Medical Campus                     |
| 8031      | 40855      | University of Denver                                                          |
| 8123      | 40856      | University of Northern Colorado                                               |
| 8051      | 40857      | Western Colorado University                                                   |
| 9009      | 40858      | Albertus Magnus College                                                       |
| 9003      | 40859      | Central Connecticut State University                                          |
| 9011      | 40860      | Connecticut College                                                           |
| 9015      | 40861      | Eastern Connecticut State University                                          |
| 9001      | 40862      | Fairfield University                                                          |
| 9011      | 40863      | Mitchell College                                                              |
| 9009      | 40864      | Post University                                                               |
| 9009      | 40865      | Quinnipiac University                                                         |
| 9001      | 40866      | Sacred Heart University                                                       |
| 9009      | 40867      | Southern Connecticut State University                                         |
| 9003      | 40868      | Trinity College                                                               |
| 9003      | 40869      | Tunxis Community College                                                      |
| 9011      | 40870      | United States Coast Guard Academy                                             |
| 9001      | 40871      | University of Bridgeport                                                      |
| 9013      | 40872      | University of Connecticut                                                     |
| 9003      | 40873      | University of Hartford                                                        |
| 9009      | 40874      | University of New Haven                                                       |
| 9003      | 40875      | University of Saint Joseph                                                    |
| 9007      | 40876      | Wesleyan University                                                           |
| 9001      | 40877      | Western Connecticut State University                                          |
| 9009      | 40878      | Yale University                                                               |
| 10001     | 40879      | Delaware State University                                                     |
| 10001     | 40880      | Delaware Technical Community College Dover                                    |
| 10005     | 40881      | Delaware Technical Community College Georgetown                               |
| 10003     | 40882      | Delaware Technical Community College Stanton                                  |
| 10003     | 40883      | Goldey-Beacom College                                                         |
| 10003     | 40884      | University of Delaware                                                        |
| 10001     | 40885      | Wesley College                                                                |
| 10003     | 40886      | Wilmington University                                                         |
| 12095     | 40887      | AdventHealth University                                                       |
| 12103     | 40888      | American Institute of Beauty                                                  |
| 12011     | 40889      | Atlantic Technical College                                                    |
| 12086     | 40890      | Atlantis University                                                           |
| 12021     | 40891      | Ave Maria University                                                          |
| 12011     | 40892      | Aveda Institute-South Florida                                                 |
| 12073     | 40893      | Aveda Institute-Tallahassee                                                   |
| 12117     | 40894      | Aviation Institute of Maintenance-Orlando                                     |
| 12086     | 40895      | Barry University                                                              |
| 12101     | 40896      | Bene's Career Academy                                                         |
| 12127     | 40897      | Bethune-Cookman University                                                    |
| 12123     | 40898      | Big Bend Technical College                                                    |
| 12011     | 40899      | Broward College                                                               |
| 12015     | 40900      | Charlotte Technical College                                                   |
| 12063     | 40901      | Chipola College                                                               |
| 12001     | 40902      | City College at Gainesville                                                   |
| 12083     | 40903      | College of Central Florida                                                    |
| 12011     | 40904      | Concorde Career Institute-Miramar                                             |
| 12095     | 40905      | Cortiva Institute-Maitland                                                    |
| 12127     | 40906      | Daytona State College                                                         |
| 12009     | 40907      | Eastern Florida State College                                                 |
| 12103     | 40908      | Eckerd College                                                                |
| 12031     | 40909      | Edward Waters College                                                         |
| 12127     | 40910      | Embry-Riddle Aeronautical University at Daytona Beach                         |
| 12057     | 40911      | Erwin Technical College                                                       |
| 12099     | 40912      | Everglades University                                                         |
| 12109     | 40913      | First Coast Technical College                                                 |
| 12109     | 40914      | Flagler College                                                               |
| 12035     | 40915      | Flagler Technical College                                                     |
| 12073     | 40916      | Florida A&M University                                                        |
| 12099     | 40917      | Florida Atlantic University                                                   |
| 12057     | 40918      | Florida Career College at Tampa                                               |
| 12057     | 40919      | Florida College                                                               |
| 12023     | 40920      | Florida Gateway College                                                       |
| 12071     | 40921      | Florida Gulf Coast University                                                 |
| 12095     | 40922      | Florida Institute of Recording Sound and Technology                           |
| 12009     | 40923      | Florida Institute of Technology                                               |
| 12086     | 40924      | Florida International University                                              |
| 12086     | 40925      | Florida Memorial University                                                   |
| 12086     | 40926      | Florida National University                                                   |
| 12105     | 40927      | Florida Polytechnic University                                                |
| 12071     | 40928      | Florida SouthWestern State College                                            |
| 12105     | 40929      | Florida Southern College                                                      |
| 12031     | 40930      | Florida State College at Jacksonville                                         |
| 12073     | 40931      | Florida State University                                                      |
| 12095     | 40932      | Florida Technical College                                                     |
| 12071     | 40933      | Fort Myers Technical College                                                  |
| 12111     | 40934      | Fortis Institute at Port Saint Lucie                                          |
| 12101     | 40935      | Fred K. Marchman Technical College                                            |
| 12095     | 40936      | Full Sail University                                                          |
| 12039     | 40937      | Gadsden Technical Institute                                                   |
| 12033     | 40938      | George Stone Technical College                                                |
| 12005     | 40939      | Gulf Coast State College                                                      |
| 12095     | 40940      | Gwinnett Institute                                                            |
| 12099     | 40941      | HCI College                                                                   |
| 12011     | 40942      | HCI College at Fort Lauderdale                                                |
| 12057     | 40943      | Hillsborough Community College                                                |
| 12021     | 40944      | Immokalee Technical College                                                   |
| 12111     | 40945      | Indian River State College                                                    |
| 12031     | 40946      | Jacksonville University                                                       |
| 12086     | 40947      | Johnson & Wales University-North Miami                                        |
| 12099     | 40948      | Keiser University Flagship                                                    |
| 12071     | 40949      | Keiser University at Fort Myers                                               |
| 12031     | 40950      | Keiser University at Jacksonville                                             |
| 12105     | 40951      | Keiser University at Lakeland                                                 |
| 12009     | 40952      | Keiser University at Melbourne                                                |
| 12031     | 40953      | Keiser University at Sarasota                                                 |
| 12073     | 40954      | Keiser University at Tallahassee                                              |
| 12099     | 40955      | Keiser University at West Palm Beach                                          |
| 12127     | 40956      | Keiser University-Daytona                                                     |
| 12111     | 40957      | Keiser University-Port St Lucie                                               |
| 12069     | 40958      | Lake Technical College                                                        |
| 12069     | 40959      | Lake-Sumter State College                                                     |
| 12086     | 40960      | Lindsey Hopkins Technical College                                             |
| 12073     | 40961      | Lively Technical College                                                      |
| 12103     | 40962      | Loraines Academy & Spa                                                        |
| 12021     | 40963      | Lorenzo Walker Technical College                                              |
| 12099     | 40964      | Lynn University                                                               |
| 12083     | 40965      | Marion Technical College                                                      |
| 12115     | 40966      | Meridian College                                                              |
| 12086     | 40967      | Miami Dade College                                                            |
| 12086     | 40968      | Miami International University of Art and Design                              |
| 12115     | 40969      | New College of Florida                                                        |
| 12079     | 40970      | North Florida College                                                         |
| 12091     | 40971      | Northwest Florida State College                                               |
| 12086     | 40972      | Nouvelle Institute                                                            |
| 12011     | 40973      | Nova Southeastern University                                                  |
| 12091     | 40974      | Okaloosa Technical College                                                    |
| 12095     | 40975      | Orange Technical College Mid Florida Campus                                   |
| 12095     | 40976      | Orange Technical College Orlando Campus                                       |
| 12095     | 40977      | Orange Technical College Westside Campus                                      |
| 12095     | 40978      | Orange Technical College Winter Park Campus                                   |
| 12099     | 40979      | Palm Beach Atlantic University                                                |
| 12099     | 40980      | Palm Beach State College                                                      |
| 12101     | 40981      | Pasco-Hernando State College                                                  |
| 12031     | 40982      | Paul Mitchell the School-Jacksonville                                         |
| 12033     | 40983      | Pensacola State College                                                       |
| 12103     | 40984      | Pinellas Technical College-St. Petersburg                                     |
| 12105     | 40985      | Polk State College                                                            |
| 12086     | 40986      | Praxis Institute                                                              |
| 12113     | 40987      | Radford M Locklin Technical College                                           |
| 12071     | 40988      | Rasmussen College at Fort Myers                                               |
| 12105     | 40989      | Ridge Technical College                                                       |
| 12121     | 40990      | Riveroak Technical College                                                    |
| 12095     | 40991      | Rollins College                                                               |
| 12101     | 40992      | Saint Leo University                                                          |
| 12001     | 40993      | Santa Fe College                                                              |
| 12117     | 40994      | Seminole State College of Florida                                             |
| 12011     | 40995      | Sheridan Technical College                                                    |
| 12011     | 40996      | South Florida Bible College and Theological Seminary                          |
| 12055     | 40997      | South Florida State College                                                   |
| 12099     | 40998      | Southeastern College at West Palm Beach                                       |
| 12105     | 40999      | Southeastern University                                                       |
| 12107     | 41000      | St. Johns River State College                                                 |
| 12103     | 41001      | St. Petersburg College                                                        |
| 12086     | 41002      | St. Thomas University                                                         |
| 12081     | 41003      | State College of Florida, Manatee-Sarasota                                    |
| 12127     | 41004      | Stetson University                                                            |
| 12011     | 41005      | Strayer University at Fort Lauderdale                                         |
| 12115     | 41006      | Suncoast Technical College                                                    |
| 12031     | 41007      | Sunstate Academy-Jones Technical Institute                                    |
| 12073     | 41008      | Tallahassee Community College                                                 |
| 12087     | 41009      | The College of the Florida Keys                                               |
| 12105     | 41010      | Traviss Technical College                                                     |
| 12101     | 41011      | Trinity College of Florida                                                    |
| 12095     | 41012      | Universal Technical Institute Orlando                                         |
| 12095     | 41013      | University of Central Florida                                                 |
| 12001     | 41014      | University of Florida                                                         |
| 12011     | 41015      | University of Fort Lauderdale                                                 |
| 12086     | 41016      | University of Miami                                                           |
| 12031     | 41017      | University of North Florida                                                   |
| 12057     | 41018      | University of South Florida                                                   |
| 12115     | 41019      | University of South Florida Sarasota-Manatee                                  |
| 12103     | 41020      | University of South Florida St. Petersburg                                    |
| 12057     | 41021      | University of Tampa                                                           |
| 12033     | 41022      | University of West Florida                                                    |
| 12095     | 41023      | Valencia College                                                              |
| 12105     | 41024      | Warner University                                                             |
| 12105     | 41025      | Webber International University                                               |
| 12011     | 41026      | William T. McFatter Technical College                                         |
| 12017     | 41027      | Withlacoochee Technical College                                               |
| 13277     | 41028      | Abraham Baldwin Agricultural College                                          |
| 13089     | 41029      | Agnes Scott College                                                           |
| 13095     | 41030      | Albany State University                                                       |
| 13121     | 41031      | Atlanta Metropolitan State College                                            |
| 13245     | 41032      | Augusta University                                                            |
| 13115     | 41033      | Berry College                                                                 |
| 13139     | 41034      | Brenau University                                                             |
| 13089     | 41035      | Clark Atlanta University                                                      |
| 13063     | 41036      | Clayton State University                                                      |
