mysql root@(none):covid_data> select c.`County_ID`, c.`Name`, c.`Never_Mask`, c.`Rarely_Mask` from `County` as c having (c.`Never_Mask` + c.`Rarely_Mask`) < 0.1;
+-----------+----------------------------+------------+-------------+
| County_ID | Name                       | Never_Mask | Rarely_Mask |
| 8071      | Las Animas                 | 0.052      | 0.030       |
| 8073      | Lincoln                    | 0.013      | 0.068       |
| 8083      | Montezuma                  | 0.057      | 0.019       |
| 8089      | Otero                      | 0.004      | 0.047       |
| 8093      | Park                       | 0.021      | 0.018       |
| 8097      | Pitkin                     | 0.019      | 0.014       |
| 8101      | Pueblo                     | 0.018      | 0.044       |
| 8107      | Routt                      | 0.008      | 0.036       |
| 8111      | San Juan                   | 0.032      | 0.038       |
| 8117      | Summit                     | 0.000      | 0.001       |
| 8123      | Weld                       | 0.046      | 0.038       |
| 9001      | Fairfield                  | 0.027      | 0.019       |
| 9003      | Hartford                   | 0.015      | 0.023       |
| 9005      | Litchfield                 | 0.017      | 0.051       |
| 9007      | Middlesex                  | 0.003      | 0.007       |
| 9009      | New Haven                  | 0.023      | 0.014       |
| 9011      | New London                 | 0.025      | 0.021       |
| 9013      | Tolland                    | 0.008      | 0.008       |
| 9015      | Windham                    | 0.022      | 0.041       |
| 10001     | Kent                       | 0.026      | 0.006       |
| 10003     | New Castle                 | 0.027      | 0.013       |
| 10005     | Sussex                     | 0.005      | 0.001       |
| 11001     | District of Columbia       | 0.012      | 0.013       |
| 12001     | Alachua                    | 0.001      | 0.024       |
| 12011     | Broward                    | 0.026      | 0.023       |
| 12013     | Calhoun                    | 0.034      | 0.055       |
| 12021     | Collier                    | 0.040      | 0.023       |
| 12023     | Columbia                   | 0.047      | 0.026       |
| 12027     | DeSoto                     | 0.023      | 0.064       |
| 12031     | Duval                      | 0.049      | 0.042       |
| 12033     | Escambia                   | 0.019      | 0.052       |
| 12039     | Gadsden                    | 0.060      | 0.033       |
| 12051     | Hendry                     | 0.046      | 0.042       |
| 12055     | Highlands                  | 0.025      | 0.056       |
| 12057     | Hillsborough               | 0.023      | 0.031       |
| 12065     | Jefferson                  | 0.019      | 0.017       |
| 12073     | Leon                       | 0.051      | 0.022       |
| 12077     | Liberty                    | 0.022      | 0.023       |
| 12085     | Martin                     | 0.027      | 0.018       |
| 12086     | Miami-Dade                 | 0.032      | 0.023       |
| 12087     | Monroe                     | 0.007      | 0.001       |
| 12093     | Okeechobee                 | 0.016      | 0.034       |
| 12095     | Orange                     | 0.020      | 0.020       |
| 12097     | Osceola                    | 0.025      | 0.022       |
| 12099     | Palm Beach                 | 0.030      | 0.020       |
| 12101     | Pasco                      | 0.027      | 0.029       |
| 12103     | Pinellas                   | 0.025      | 0.019       |
| 12111     | St. Lucie                  | 0.077      | 0.022       |
| 12115     | Sarasota                   | 0.017      | 0.031       |
| 12117     | Seminole                   | 0.037      | 0.039       |
| 12119     | Sumter                     | 0.037      | 0.036       |
| 12125     | Union                      | 0.044      | 0.040       |
| 13007     | Baker                      | 0.027      | 0.048       |
| 13029     | Bryan                      | 0.033      | 0.039       |
| 13037     | Calhoun                    | 0.013      | 0.035       |
